white alum, water purification, mix one gram white alum for ten litres of water
white alum, eye swelling, one gram white alum and one gram white salt mix in one hundred ml water and use two to three drops
white alum, eye ache, one gram white alum and one gram white salt mix in one hundred ml water and use two to three drops
white alum, eye redness, one gram white alum and one gram white salt mix in one hundred ml water and use two to three drops
